"id","source","Final.group","Final.name"
"s2767","Roadmap","Gastrointestinal","Sigmoid Colon"
"s2768","Roadmap","Bone/Soft tissue","Skeletal Muscle Male"
"s2769","Roadmap","Bone/Soft tissue","Skeletal Muscle Female"
"s2770","Roadmap","Gastrointestinal","Small Intestine"
"s2771","Roadmap","Stomach Mucosa","Stomach Mucosa"
"s2772","Roadmap","Bone/Soft tissue","Stomach Smooth Muscle"
"s2773","Roadmap","Thymus","Thymus"
"s2774","Roadmap","Spleen","Spleen"
"s2801","Roadmap","Bone/Soft tissue","Adipose Nuclei"
"s2802","Roadmap","Adrenal","Fetal Adrenal Gland"
"s7310","ENCODE","Breast","Mammary Epithelial Cell 1"
"s7314","ENCODE","Bone/Soft tissue","Osteoblast"
"s7316","ENCODE","Skin Fibroblast","Dermis Fibroblast"
"s7317","ENCODE","Astrocyte","Astrocyte"
"s7319","ENCODE","Lung Fibroblast","Lung Fibroblast 1"
"s7323","ENCODE","Squamous","Keratinocyte 1"
"s6963","ENCODE","Squamous","Bronchial Epithelial Cell"
"s6987","ENCODE","Blood - other","Mononuclear Cell"
"s6684","ENCODE","CD19","B cell 1"
"s6779","ENCODE","Squamous","Kidney Epithelial Cell"
"s6788","ENCODE","Breast","Mammary Epithelial Cell 2"
"s6805","ENCODE","Squamous","Keratinocyte 2"
"s7322","ENCODE","Bone/Soft tissue","Skeletal Muscle Myoblast"
"s6726","ENCODE","Lung Fibroblast"," Lung Fibroblast 4"
"s7029","ENCODE","Blood - other","CD14+ Monocyte"
